domain,domain_age,ssl_valid,whois_available,suspicious_tld,domain_reputation_score,domain_risk_score
googleindia.com,53,False,True,False,50.0,50.0
primecareernetwork.com,0,False,True,False,50.0,50.0
swiggy.com,4832,True,True,False,100.0,0.0
skylineconsultinggroup.com,4247,True,True,False,100.0,0.0
abcsoftwaresolutions.com,3308,True,True,False,100.0,0.0
razorpay.com,4684,True,True,False,100.0,0.0
wipro.com,12247,True,True,False,100.0,0.0
horizonbusinessservices.com,6872,True,True,False,100.0,0.0
elevatehrsolutions.com,3896,True,True,False,100.0,0.0
phonepe.com,3853,True,True,False,100.0,0.0
microsoftindia.com,10154,False,True,False,70.0,30.0
tataconsultancyservices.com,9661,False,True,False,70.0,30.0
freshworks.com,10354,True,True,False,100.0,0.0
infosys.com,12391,True,True,False,100.0,0.0
nextgentalentsolutions.com,2489,False,True,False,70.0,30.0
brightpathcareers.com,220,True,True,False,90.0,10.0
flipkartinternet.com,744,False,True,False,70.0,30.0
xyzconsultancyservices.com,0,False,True,False,50.0,50.0
zomato.com,7421,True,True,False,100.0,0.0
amazondevelopmentcenter.com,8076,True,True,False,100.0,0.0
abcitsolutions.com,4986,False,True,False,70.0,30.0
techsolutionsgroup.com,8748,False,True,False,70.0,30.0
google.com,10505,True,True,False,100.0,0.0
unknown.com,11567,True,True,False,100.0,0.0
brightlinesoftware.com,0,False,True,False,50.0,50.0
aksyraexportsglobal.com,72,False,True,False,50.0,50.0
pixel.co.in,0,False,False,False,30.0,70.0
horizon.xyz,3951,False,True,True,30.0,70.0
eazypay.win,0,False,True,True,10.0,90.0
abc.xyz,4475,True,True,True,60.0,40.0
microsoft.com,12833,True,True,False,100.0,0.0
